App,Package,Start Time,Duration,Filename
"2048",com.tpcstld.twozerogame,"Feb 15, 2018 @ 06:06:22 PM","48 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
0,214000,1,0,2,27,3,1593600,3,1593600,5,0,5,1824000,5,1824000,
100,214000,102,0,103,35,105,1593600,105,1593600,116,0,116,1824000,116,1824000,
200,214000,201,0,202,69,203,1593600,203,1593600,208,61,209,1824000,209,1824000,
301,214000,302,0,303,30,304,1593600,304,1593600,312,25,312,1824000,313,1824000,
403,214000,404,0,405,78,405,1593600,406,1593600,411,73,412,1824000,412,1824000,
503,214000,515,0,519,65,520,1593600,521,1593600,535,61,536,1824000,536,1824000,
604,214000,605,0,606,75,606,1593600,607,1593600,613,66,614,1824000,614,1824000,
704,214000,705,0,706,60,706,1593600,707,1593600,713,53,714,1824000,714,1824000,
805,214000,806,0,807,53,808,1401600,808,1401600,816,41,816,1555200,816,1555200,
905,214000,906,0,908,70,911,1401600,912,1401600,940,57,940,1555200,942,1555200,
1005,214000,1006,0,1008,89,1008,1401600,1009,1401600,1017,70,1017,1555200,1018,1555200,
1106,214000,1107,0,1108,28,1109,1401600,1109,1401600,1133,20,1133,1555200,1134,1555200,
1207,214000,1208,0,1209,95,1210,1401600,1210,1401600,1221,75,1222,1555200,1222,1555200,
1307,214000,1308,0,1309,69,1310,1401600,1310,1401600,1318,52,1318,1555200,1319,1555200,
1408,214000,1409,0,1410,91,1411,1401600,1412,1401600,1420,74,1421,1555200,1429,1555200,
1508,214000,1509,0,1511,94,1512,1401600,1513,1401600,1523,75,1523,1555200,1524,1555200,
1609,214000,1610,0,1612,85,1612,1401600,1613,1401600,1635,65,1636,1555200,1637,1555200,
1709,214000,1710,0,1712,89,1712,1401600,1713,1401600,1718,71,1718,1555200,1719,1555200,
1810,214000,1810,0,1812,35,1812,1401600,1813,1401600,1819,24,1820,1555200,1820,1555200,
1910,214000,1911,0,1912,69,1912,1401600,1912,1401600,1916,55,1917,1555200,1917,1555200,
2010,214000,2011,0,2012,32,2013,1401600,2013,1401600,2017,24,2017,1555200,2018,1555200,
2112,214000,2113,0,2115,67,2116,1401600,2116,1401600,2132,53,2132,1555200,2133,1555200,
2213,214000,2213,0,2215,51,2215,1401600,2215,1401600,2222,38,2222,1555200,2223,1555200,
2321,214000,2322,0,2324,78,2324,1401600,2325,1401600,2349,63,2352,1555200,2353,1555200,
2422,214000,2423,0,2425,83,2425,1401600,2426,1401600,2433,65,2433,1555200,2434,1555200,
2524,214000,2524,0,2525,76,2526,1401600,2526,1401600,2530,62,2530,1555200,2530,1555200,
2624,214000,2625,0,2626,42,2627,1401600,2627,1401600,2633,33,2634,1555200,2634,1555200,
2725,214000,2726,0,2727,63,2728,1401600,2728,1401600,2735,49,2736,1555200,2736,1555200,
2825,214000,2826,0,2827,36,2828,1401600,2828,1401600,2834,25,2835,1555200,2835,1555200,
2928,214000,2928,0,2930,53,2930,1401600,2931,1401600,2937,47,2937,1555200,2938,1555200,
3028,214000,3029,0,3030,38,3030,1401600,3031,1401600,3037,26,3037,1555200,3038,1555200,
3131,214000,3132,0,3135,65,3135,1401600,3135,1401600,3140,49,3141,1555200,3141,1555200,
