App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:55:21 PM","1 min 2 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
0,0,2,3457540,13,0,13,3,14,1,
100,0,102,3458372,109,40,110,3,110,1,
199,0,200,3465800,208,49,153,3,208,1,
301,0,302,3433832,319,88,208,3,319,1,
400,0,401,3437416,407,41,319,3,407,1,
500,0,501,3441000,507,60,407,3,507,1,
601,0,602,3443964,608,58,507,3,608,1,
701,0,702,3446196,717,65,608,3,718,1,
807,0,808,3445236,823,78,718,3,823,1,
904,0,905,3446528,912,97,823,3,912,1,
1005,0,1006,3449584,1017,97,912,3,1017,1,
1105,0,1106,3450312,1111,86,1017,3,1111,1,
1211,0,1211,3452352,1215,87,1111,3,1216,1,
1318,0,1319,3452236,1324,83,1216,3,1324,1,
1409,0,1410,3455584,1416,89,1324,3,1417,1,
1510,0,1510,3460856,1515,84,1417,3,1515,1,
1610,0,1611,3458580,1616,91,1515,3,1616,1,
1711,0,1711,3455432,1715,88,1616,3,1715,1,
1812,0,1813,3458408,1821,86,1715,3,1821,1,
1912,0,1913,3464516,1918,82,1821,3,1918,1,
2013,10,2014,3450688,2021,92,1918,3,2021,1,
2113,10,2114,3453292,2117,76,2021,3,2118,1,
2214,10,2215,3456580,2219,88,2118,3,2219,1,
2315,10,2315,3457868,2320,95,2219,3,2320,1,
2415,10,2416,3457832,2443,93,2320,3,2443,1,
2515,0,2516,3457180,2523,83,2443,3,2523,1,
2616,0,2616,3459232,2621,93,2523,3,2621,1,
2716,0,2717,3453780,2721,92,2621,3,2722,1,
2817,0,2818,3452644,2825,87,2721,3,2826,1,
2917,0,2918,3455508,2938,97,2826,3,2938,1,
3018,0,3019,3456860,3025,94,2938,3,3026,1,
3118,0,3119,3463244,3123,71,3026,3,3123,1,
3218,0,3219,3460532,3224,95,3123,3,3224,1,
3319,0,3320,3456864,3327,82,3224,3,3327,1,
3421,0,3423,3456708,3441,55,3327,3,3441,1,
3520,0,3521,3459616,3525,67,3441,3,3525,1,
3622,0,3624,3457532,3643,67,3525,3,3643,1,
3721,0,3722,3458080,3728,75,3643,3,3729,1,
3823,0,3826,3460404,3845,63,3729,3,3845,1,
3922,0,3923,3459296,3931,72,3845,3,3931,1,
4023,0,4024,3457008,4033,74,3931,3,4034,1,
4123,0,4124,3458620,4131,87,4034,3,4131,1,
4225,0,4228,3459860,4250,66,4131,3,4251,1,
4326,0,4327,3455248,4336,62,4251,3,4336,1,
