App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:57:04 PM","1 min 20 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
0,0,1,3441380,16,5,16,3,16,1,
101,0,101,3441504,107,66,107,3,107,1,
201,0,201,3441704,209,69,110,3,210,1,
301,0,301,3444792,311,92,210,3,311,1,
401,0,402,3444708,408,43,311,3,409,1,
501,0,502,3445700,508,43,409,3,508,1,
604,0,608,3446044,618,11,508,3,618,1,
704,0,707,3446400,722,17,618,3,722,1,
807,0,810,3427660,836,15,722,3,837,1,
908,0,911,3427660,933,10,836,3,933,1,
1010,0,1014,3428140,1035,6,933,3,1036,1,
1111,0,1113,3428868,1133,11,1036,3,1134,1,
1212,0,1217,3428000,1241,9,1133,3,1241,1,
1313,0,1316,3428232,1335,8,1241,3,1336,1,
1414,0,1417,3428232,1435,8,1336,3,1436,1,
1516,0,1520,3428712,1535,6,1436,3,1536,1,
1617,0,1621,3429704,1643,9,1536,3,1643,1,
1717,0,1719,3430324,1741,7,1643,3,1742,1,
1822,0,1826,3430904,1851,6,1742,3,1852,1,
1922,0,1925,3431384,1947,8,1852,3,1948,1,
2024,0,2027,3432084,2050,8,1948,3,2050,1,
2125,0,2127,3432828,2148,8,2050,3,2149,1,
2226,0,2228,3433416,2251,8,2148,3,2252,1,
2327,0,2329,3434160,2353,18,2252,3,2353,1,
2426,0,2427,3425464,2437,28,2353,3,2437,1,
2530,0,2532,3426456,2550,10,2437,3,2551,1,
2631,0,2635,3426812,2653,7,2551,3,2654,1,
2733,0,2736,3427432,2760,5,2654,3,2760,1,
2839,0,2842,3428408,2856,12,2760,3,2856,1,
2935,0,2938,3429028,2954,5,2856,3,2954,1,
3036,0,3039,3429896,3062,7,2954,3,3063,1,
3137,0,3140,3430020,3160,10,3063,3,3161,1,
3238,0,3241,3430500,3266,6,3161,3,3266,1,
3339,0,3343,3430608,3368,9,3266,3,3368,1,
3441,6,3445,3431476,3473,9,3368,3,3474,1,
3541,6,3545,3431920,3564,14,3474,3,3564,1,
3641,6,3642,3427912,3646,34,3564,3,3647,1,
3744,6,3746,3428036,3761,10,3647,3,3762,1,
3844,6,3845,3428816,3851,10,3762,3,3852,1,
3947,6,3949,3428940,3968,6,3851,3,3969,1,
4049,6,4063,3407488,4068,18,3969,3,4068,1,
4150,6,4153,3408356,4171,9,4068,3,4172,1,
4251,6,4253,3408464,4265,17,4172,3,4266,1,
4352,6,4354,3409332,4374,18,4266,3,4375,1,
4454,6,4457,3410060,4478,11,4375,3,4479,1,
4554,6,4558,3410432,4569,9,4479,3,4569,1,
4656,6,4659,3411052,4674,6,4569,3,4675,1,
4759,6,4762,3411920,4780,9,4675,3,4781,1,
4859,6,4861,3412524,4873,10,4780,3,4874,1,
4962,6,4965,3413144,4987,7,4874,3,4988,1,
5062,6,5063,3414012,5069,12,4987,3,5069,1,
5164,6,5167,3414588,5186,10,5069,3,5186,1,
5265,6,5267,3415068,5286,6,5186,3,5288,1,
5368,6,5371,3415688,5379,5,5287,3,5379,1,
5468,0,5471,3416184,5490,8,5379,3,5491,1,
5568,0,5570,3417052,5585,9,5491,3,5585,1,
5671,0,5674,3417176,5692,8,5585,3,5693,1,
5775,0,5777,3408480,5787,16,5693,3,5787,1,
5877,0,5880,3408604,5895,8,5787,3,5895,1,
5978,0,5981,3408852,5991,7,5895,3,5991,1,
6079,0,6083,3409456,6100,7,5991,3,6101,1,
6183,0,6186,3410076,6204,7,6101,3,6205,1,
6282,0,6285,3410696,6304,14,6205,3,6305,1,
