App,Package,Start Time,Duration,Filename
"System",,"Jun 29, 2018 @ 09:34:29 AM","50 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
18,1,2,3388652,0,15,17,0,
133,1,103,3388048,101,17,133,56,
262,1,252,3388120,250,17,262,55,
308,1,301,3378928,300,17,308,35,
421,1,405,3364436,404,17,420,35,
514,1,506,3355500,504,17,514,43,
625,1,608,3356368,606,17,625,28,
721,1,713,3360088,711,17,721,33,
839,1,816,3367032,813,0,838,38,
935,1,916,3368148,914,0,935,19,
1021,1,1014,3371232,1013,0,1021,25,
1123,1,1115,3373436,1114,0,1123,24,
1235,1,1221,3374924,1217,0,1235,20,
1321,1,1317,3372688,1316,0,1321,22,
1450,1,1421,3364348,1418,0,1449,5,
1543,1,1527,3364596,1523,0,1542,6,
1634,1,1625,3365744,1623,0,1634,23,
1738,1,1725,3366860,1724,0,1737,23,
1840,1,1829,3368084,1826,0,1840,24,
1937,1,1928,3368084,1926,0,1937,22,
2043,1,2031,3369324,2028,0,2043,28,
2156,1,2134,3371804,2130,0,2156,24,
2263,1,2235,3373928,2231,0,2263,23,
2336,1,2331,3375900,2330,0,2336,33,
2445,1,2433,3376268,2431,0,2445,22,
2541,1,2532,3370656,2531,0,2541,49,
2647,1,2634,3386776,2633,0,2646,59,
2750,1,2734,3391504,2733,0,2749,78,
2915,1,2835,3408996,2834,0,2915,79,
2972,1,2937,3405556,2936,0,2972,78,
3089,1,3048,3375648,3047,0,3089,80,
3146,1,3137,3375096,3136,0,3146,80,
3258,1,3239,3370480,3238,0,3257,80,
3351,1,3340,3376840,3339,0,3351,78,
3448,1,3440,3382032,3439,0,3448,73,
3559,1,3540,3383520,3539,0,3559,74,
3645,1,3640,3381412,3639,0,3644,68,
3754,1,3745,3381412,3742,0,3754,24,
3852,1,3844,3381536,3842,0,3852,23,
3949,1,3944,3381632,3943,0,3949,23,
4052,1,4046,3381600,4044,0,4051,22,
4152,1,4147,3381600,4145,0,4152,24,
4269,1,4250,3381600,4247,0,4268,10,
4378,1,4357,3380360,4351,0,4378,6,
4472,1,4453,3380360,4451,0,4472,6,
4587,1,4557,3380452,4553,0,4586,3,
4667,1,4654,3380684,4652,0,4666,25,
4775,1,4756,3380700,4754,0,4775,12,
4874,1,4861,3380700,4856,0,4874,4,
4981,1,4959,3380700,4957,0,4981,4,
5085,1,5064,3380700,5060,0,5084,5,
5184,1,5162,3380700,5159,0,5184,6,
5301,1,5268,3380824,5264,0,5300,8,
5397,1,5367,3380824,5362,0,5397,7,
5498,1,5468,3380824,5464,0,5498,6,
5604,1,5570,3380948,5565,0,5603,5,
5697,1,5670,3381072,5666,0,5696,8,
5796,1,5771,3379832,5766,0,5796,5,
5906,1,5873,3379956,5868,0,5906,7,
5993,1,5977,3378964,5974,0,5992,15,
6091,1,6076,3378900,6073,0,6091,6,
6198,1,6177,3378652,6175,0,6197,8,
6308,1,6281,3378280,6276,0,6308,5,
6404,1,6384,3378404,6381,0,6403,8,
6514,1,6486,3378404,6482,0,6513,3,
6615,1,6587,3378404,6583,0,6615,4,
6712,1,6687,3378528,6684,0,6712,7,
6813,1,6788,3378652,6785,0,6813,4,
6919,1,6894,3378776,6887,0,6918,3,
7012,1,6993,3378776,6989,0,7012,5,
7131,1,7095,3378776,7091,0,7131,3,
7212,1,7194,3378996,7191,0,7212,14,
7311,1,7294,3378376,7292,0,7311,7,
7422,1,7397,3378500,7393,0,7422,6,
7516,1,7497,3378500,7495,0,7516,3,
7618,1,7599,3378500,7596,0,7618,3,
7728,1,7700,3378500,7697,0,7727,2,
7820,1,7800,3378500,7797,0,7819,7,
7933,1,7906,3376888,7902,0,7933,9,
8042,1,8008,3377056,8005,0,8041,9,
8133,1,8113,3377056,8107,0,8132,6,
8229,1,8209,3377056,8207,0,8228,4,
8278,1,8259,3377040,8257,0,8278,5,
8384,1,8364,3377040,8360,0,8383,3,
8496,1,8465,3377040,8461,0,8495,4,
