App,Package,Start Time,Duration,Filename
"System",,"Mar 7, 2018 @ 10:59:54 AM","49 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
11,1,1,3459532,0,6,11,1,
158,1,152,3457076,151,6,158,48,
277,1,257,3458044,253,6,277,10,
373,1,355,3459380,353,0,373,29,
479,1,457,3460744,455,0,479,33,
563,1,555,3457144,554,0,563,38,
664,1,656,3458044,655,0,664,47,
785,1,761,3458168,757,0,785,42,
863,1,858,3459832,857,0,863,31,
965,1,959,3455244,958,0,965,43,
1068,1,1061,3452976,1061,0,1068,52,
1163,1,1160,3454344,1159,0,1163,65,
1267,1,1261,3456052,1260,0,1267,72,
1369,1,1361,3453428,1360,0,1368,37,
1480,1,1464,3457676,1463,0,1479,80,
1580,1,1564,3454544,1563,0,1580,83,
1646,1,1629,3457320,1617,0,1646,94,
1741,1,1718,3456932,1717,0,1741,93,
1828,1,1819,3458296,1818,0,1827,88,
1928,1,1920,3450512,1919,0,1928,82,
2101,1,2073,3480624,2072,0,2101,93,
2176,1,2170,3471808,2170,0,2175,93,
2274,1,2271,3476192,2270,0,2274,100,
2326,1,2321,3460320,2320,0,2325,95,
2457,1,2450,3455340,2450,0,2457,98,
2533,1,2522,3458216,2521,0,2533,83,
2583,0,2623,3456372,2622,0,2629,99,
2630,0,2724,3452992,2722,0,2733,76,
2733,0,2823,3456728,2823,0,2829,54,
2829,0,2926,3456972,2924,0,2939,74,
2942,0,3024,3462728,3024,0,3028,99,
3029,0,3128,3476620,3127,0,3145,100,
3145,0,3227,3460656,3226,0,3235,95,
3235,0,3327,3456768,3327,0,3335,100,
3335,0,3429,3441124,3428,0,3434,100,
3434,0,3529,3449684,3529,5,3533,100,
3533,0,3630,3450484,3630,5,3635,89,
3635,0,3730,3449104,3730,5,3734,92,
3734,0,3832,3449120,3831,5,3837,88,
3837,0,3935,3450532,3934,5,3938,95,
3912,1,4040,3449060,4036,5,4044,100,
3938,1,4140,3449604,4140,5,4144,94,
4044,1,4241,3443236,4240,5,4245,97,
4144,1,4341,3449640,4341,5,4348,95,
4245,1,4441,3449240,4441,5,4446,100,
4348,1,4545,3434524,4544,5,4574,97,
4446,1,4643,3445192,4642,5,4657,97,
4574,1,4743,3447852,4742,0,4747,97,
4657,1,4844,3449672,4843,0,4859,94,
4747,1,4945,3449420,4944,0,4952,81,
4859,1,5046,3454132,5045,0,5055,65,
4952,1,5146,3455280,5145,0,5166,71,
5055,1,5246,3453540,5245,0,5250,70,
5166,1,5347,3455804,5346,0,5358,64,
5250,1,5452,3446248,5451,0,5464,97,
5358,1,5552,3456820,5551,0,5558,81,
5464,1,5651,3453880,5651,0,5659,67,
5558,1,5752,3457184,5751,0,5756,49,
5659,1,5854,3461284,5852,0,5864,67,
5756,1,5954,3458344,5953,0,5957,85,
5868,1,6054,3457688,6053,0,6059,38,
5958,1,6155,3459424,6153,0,6163,32,
6059,1,6255,3456984,6254,0,6268,52,
6163,1,6355,3460372,6354,0,6364,59,
6268,1,6457,3456636,6456,0,6479,32,
6364,1,6557,3457752,6557,0,6562,37,
6479,1,6659,3459104,6658,0,6667,37,
6563,1,6761,3457740,6759,0,6767,52,
6667,1,6862,3458808,6862,0,6879,40,
6767,1,6964,3460768,6963,0,6972,69,
6879,1,7063,3456536,7062,8,7067,60,
6972,1,7163,3460424,7163,0,7170,65,
7067,1,7265,3456864,7264,0,7272,73,
7170,1,7366,3457144,7365,0,7377,26,
7272,1,7473,3458640,7473,0,7479,15,
7378,1,7584,3459260,7581,0,7596,13,
7479,1,7676,3456932,7676,0,7680,47,
7596,1,7777,3456448,7777,0,7784,48,
7680,1,7878,3457068,7877,0,7884,42,
7785,1,7980,3457812,7978,0,7992,46,
7884,1,8081,3459424,8079,0,8093,38,
7992,1,8180,3457992,8179,0,8190,91,
8093,1,8280,3459468,8280,0,8287,49,
