App,Package,Start Time,Duration,Filename
"System",,"Mar 7, 2018 @ 11:09:14 AM","3 min 53 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
13,0,1,3428516,0,0,13,5,
113,0,102,3442596,100,0,113,36,
237,0,206,3433384,202,0,237,8,
323,0,304,3434496,302,0,322,28,
409,0,403,3435472,402,0,408,27,
511,0,504,3436712,503,0,510,30,
610,0,605,3438200,604,0,610,25,
712,0,706,3442044,705,0,711,26,
814,0,806,3445644,806,0,813,34,
919,0,910,3450468,910,0,915,90,
1013,0,1009,3456468,1008,0,1013,71,
1117,0,1110,3459088,1109,0,1117,55,
1219,0,1212,3457740,1211,0,1218,65,
1320,0,1313,3458624,1313,0,1319,47,
1422,0,1414,3459120,1413,0,1422,53,
1533,1,1515,3460192,1514,0,1553,80,
1553,1,1617,3455492,1616,0,1622,95,
1622,1,1715,3456556,1714,0,1723,100,
1723,1,1816,3457428,1815,0,1828,57,
1828,1,1916,3457952,1915,0,1921,29,
1922,1,2018,3458324,2016,12,2033,24,
2033,1,2129,3458404,2124,12,2150,42,
2150,1,2221,3460316,2220,12,2229,57,
2229,1,2323,3458456,2321,12,2338,41,
2338,1,2423,3459260,2422,12,2429,42,
2429,1,2523,3458600,2522,12,2527,68,
2527,1,2624,3458816,2623,12,2628,38,
2628,1,2726,3457424,2726,12,2732,48,
2732,1,2828,3448244,2827,12,2835,30,
2835,1,2929,3448244,2927,12,2946,19,
2946,1,3028,3449768,3027,16,3037,48,
3037,1,3129,3452248,3128,16,3133,50,
3134,1,3230,3453720,3229,16,3237,48,
3237,1,3330,3455320,3330,16,3336,45,
3336,1,3431,3458484,3430,16,3437,45,
3437,1,3532,3459448,3531,16,3543,60,
3543,1,3633,3450068,3631,16,3638,58,
3638,1,3732,3453400,3732,16,3737,83,
3737,1,3834,3444780,3833,16,3845,83,
3845,1,3934,3446896,3933,16,3941,91,
3941,1,4034,3456600,4033,16,4041,74,
4041,1,4135,3450308,4134,0,4143,56,
4143,1,4235,3452308,4234,0,4243,35,
4243,1,4335,3455272,4334,0,4342,43,
4342,1,4435,3458748,4435,0,4440,46,
4441,1,4536,3459464,4535,0,4545,49,
4545,1,4636,3449212,4635,0,4644,79,
4644,1,4737,3451232,4736,0,4746,50,
4746,1,4837,3461232,4836,0,4845,74,
4845,1,4937,3446960,4937,0,4943,50,
4944,1,5038,3448572,5037,0,5045,29,
5045,1,5138,3450928,5137,0,5143,45,
5143,1,5239,3452712,5238,0,5243,49,
5243,1,5340,3454308,5339,0,5346,34,
5346,1,5441,3456292,5440,0,5446,48,
5446,1,5542,3457656,5541,0,5547,32,
5548,1,5643,3458496,5642,0,5648,37,
5648,1,5743,3459364,5742,0,5749,42,
5749,1,5844,3461056,5843,0,5867,56,
5867,1,5943,3456320,5943,0,5948,74,
5948,1,6045,3459220,6044,0,6053,38,
6054,1,6146,3456352,6145,12,6152,83,
6153,1,6246,3455800,6245,12,6253,67,
