App,Package,Start Time,Duration,Filename
"PropertyFinder",com.propertyfinder,"Feb 28, 2018 @ 12:22:53 PM","4 min 46 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
0,0,6,3452332,17,0,17,1,17,1,
103,0,104,3447512,110,79,111,1,111,1,
203,0,204,3456316,212,87,131,1,212,1,
304,0,306,3446576,322,95,212,1,322,1,
404,0,405,3447572,408,75,322,1,409,1,
505,0,506,3439080,513,85,409,1,513,1,
608,0,609,3451520,613,88,513,1,614,1,
709,0,710,3455016,724,95,613,1,725,1,
809,0,810,3457336,817,69,725,1,817,1,
910,0,911,3458728,917,50,817,1,917,1,
1010,0,1012,3456836,1023,80,917,1,1024,1,
1111,0,1112,3449168,1118,71,1024,1,1118,1,
1211,7,1213,3452716,1220,36,1118,1,1220,1,
1312,0,1312,3455180,1317,45,1220,1,1318,1,
1412,0,1413,3457416,1419,38,1318,1,1419,1,
1512,0,1513,3460888,1523,52,1419,1,1523,1,
1613,0,1614,3458920,1631,62,1523,1,1631,1,
1719,0,1720,3451460,1735,95,1631,1,1735,1,
1818,0,1819,3447616,1827,63,1735,1,1827,1,
1918,0,1919,3459052,1926,42,1827,1,1927,1,
2018,0,2019,3459904,2023,45,1926,1,2024,1,
2119,0,2120,3457268,2128,78,2024,1,2128,1,
2219,0,2220,3465476,2229,85,2128,1,2229,1,
2320,0,2321,3454616,2333,86,2229,1,2333,1,
2420,0,2421,3446680,2426,87,2333,1,2426,1,
2521,0,2522,3447964,2527,22,2426,1,2527,1,
2621,0,2622,3448584,2626,20,2527,1,2626,1,
2722,0,2723,3449420,2728,13,2626,1,2728,1,
2822,0,2822,3450412,2828,6,2728,1,2828,1,
2922,0,2923,3443344,2927,25,2828,1,2927,1,
3023,0,3024,3445700,3029,18,2927,1,3029,1,
3123,0,3125,3446452,3130,23,3029,1,3130,1,
3223,0,3224,3447568,3229,15,3130,1,3229,1,
3324,0,3325,3448344,3330,15,3229,1,3331,1,
3424,0,3425,3448840,3429,15,3330,1,3429,1,
3525,0,3526,3449484,3531,10,3429,1,3531,1,
3625,0,3626,3450352,3630,37,3531,1,3630,1,
3726,0,3727,3451468,3731,29,3630,1,3731,1,
3826,5,3828,3452212,3833,22,3731,1,3833,1,
3927,5,3928,3453188,3933,27,3833,1,3933,1,
4027,5,4028,3454056,4033,13,3933,1,4033,1,
4128,5,4129,3454800,4135,20,4033,1,4135,1,
4228,5,4229,3455792,4232,48,4135,1,4232,1,
4329,0,4329,3456412,4333,37,4232,1,4334,1,
4429,0,4430,3455056,4435,33,4334,1,4436,1,
4532,0,4533,3443952,4539,22,4436,1,4539,1,
4633,0,4634,3448928,4654,66,4539,1,4655,1,
4736,0,4737,3456180,4740,96,4655,1,4741,1,
4839,0,4840,3480516,4844,100,4741,1,4844,1,
4940,0,4941,3468752,4946,100,4844,1,4946,1,
5041,0,5042,3453036,5072,90,4946,1,5072,1,
5141,0,5142,3438604,5147,70,5072,1,5147,1,
5241,0,5241,3439024,5245,17,5147,1,5245,1,
5341,0,5342,3439520,5346,4,5245,1,5346,1,
5442,0,5443,3440248,5450,14,5346,1,5450,1,
5542,0,5544,3444076,5549,20,5450,1,5549,1,
5642,0,5643,3451532,5650,54,5549,1,5650,1,
5743,0,5744,3460484,5748,57,5650,1,5748,1,
5844,6,5845,3458880,5853,81,5748,1,5853,1,
5944,6,5945,3453796,5956,88,5853,1,5956,1,
6044,6,6045,3451440,6051,42,5956,1,6051,1,
6145,6,6146,3452400,6152,32,6051,1,6152,1,
6245,6,6246,3442712,6250,33,6152,1,6250,1,
6346,6,6346,3442464,6351,16,6250,1,6351,1,
6446,6,6447,3443224,6452,13,6351,1,6452,1,
6547,6,6548,3444680,6555,18,6452,1,6556,1,
6647,6,6648,3445176,6653,10,6556,1,6653,1,
6747,6,6749,3443936,6754,7,6653,1,6754,1,
6847,6,6848,3444524,6853,15,6754,1,6853,1,
6948,6,6948,3447500,6957,46,6853,1,6957,1,
7049,23,7050,3413652,7061,72,6957,1,7061,1,
7149,23,7151,3412868,7156,56,7061,1,7157,1,
7250,23,7251,3413936,7258,17,7156,1,7259,1,
7351,0,7352,3414540,7358,11,7259,1,7358,1,
7450,0,7451,3415284,7456,6,7358,1,7457,1,
7552,0,7553,3416880,7559,8,7456,1,7559,1,
