App,Package,Start Time,Duration,Filename
"PropertyFinder",com.propertyfinder,"Feb 27, 2018 @ 12:30:25 PM","2 min 2 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
0,0,2,3442012,4,0,4,3,4,1,
101,0,102,3443640,111,0,111,3,111,1,
201,0,202,3447484,210,59,211,3,211,1,
301,0,301,3456060,309,80,213,3,309,1,
401,0,402,3450588,406,78,309,3,406,1,
501,0,502,3451300,509,52,406,3,510,1,
602,0,603,3450652,620,59,510,3,620,1,
702,0,703,3455396,711,78,620,3,711,1,
803,0,803,3457724,811,85,711,3,811,1,
904,0,906,3456452,911,65,811,3,911,1,
1004,0,1004,3459304,1009,60,911,3,1010,1,
1110,0,1111,3456548,1128,48,1010,3,1128,1,
1205,0,1206,3458648,1219,76,1128,3,1219,1,
1305,0,1306,3454352,1317,46,1219,3,1317,1,
1407,0,1408,3456336,1413,34,1317,3,1414,1,
1507,0,1508,3458940,1513,37,1414,3,1513,1,
1610,0,1611,3458712,1641,53,1513,3,1641,1,
1709,0,1710,3457400,1717,57,1641,3,1717,1,
1811,0,1815,3457680,1828,58,1717,3,1829,1,
1911,0,1912,3461820,1927,92,1829,3,1927,1,
2012,0,2014,3453512,2027,81,1927,3,2027,1,
2112,0,2113,3459852,2126,66,2027,3,2126,1,
2213,0,2213,3458800,2219,79,2126,3,2219,1,
2313,7,2314,3456016,2324,81,2219,3,2324,1,
2414,7,2415,3457588,2421,28,2324,3,2422,1,
2517,7,2519,3458836,2534,16,2422,3,2534,1,
2618,7,2621,3456528,2651,18,2534,3,2652,1,
2719,0,2722,3457024,2743,10,2652,3,2744,1,
2820,0,2822,3457272,2842,8,2743,3,2843,1,
2919,0,2920,3457768,2927,18,2843,3,2927,1,
3019,0,3021,3459400,3036,29,2927,3,3036,1,
3122,0,3124,3459900,3142,26,3036,3,3142,1,
3223,0,3226,3460520,3246,14,3142,3,3246,1,
3323,0,3324,3458412,3339,28,3246,3,3339,1,
3425,0,3428,3458536,3448,10,3339,3,3449,1,
3527,0,3530,3458548,3547,7,3449,3,3548,1,
3629,0,3632,3458796,3714,19,3548,3,3714,1,
3730,0,3730,3448412,3734,69,3714,3,3734,1,
3831,0,3832,3448792,3838,44,3734,3,3838,1,
3932,0,3933,3449412,3939,29,3838,3,3939,1,
4032,0,4033,3450156,4049,16,3939,3,4049,1,
4134,0,4137,3450776,4155,13,4049,3,4155,1,
4235,3,4238,3451520,4257,14,4155,3,4257,1,
4337,3,4340,3451712,4367,11,4257,3,4368,1,
4438,3,4441,3452116,4464,11,4368,3,4466,1,
4538,3,4543,3452364,4564,9,4465,3,4565,1,
4639,3,4642,3452504,4666,15,4565,3,4666,1,
4742,3,4746,3452756,4757,14,4666,3,4758,1,
4841,3,4842,3454776,4863,58,4758,3,4864,1,
4942,3,4943,3459112,4951,73,4864,3,4951,1,
5042,3,5043,3456788,5049,62,4951,3,5049,1,
5143,0,5149,3457036,5173,75,5049,3,5173,1,
5243,0,5245,3455564,5256,94,5173,3,5256,1,
5344,0,5345,3458388,5352,99,5256,3,5352,1,
5445,0,5446,3461544,5453,95,5352,3,5454,1,
5545,0,5546,3460428,5552,92,5453,3,5552,1,
5648,0,5649,3469548,5667,94,5552,3,5667,1,
5747,0,5748,3449336,5762,96,5667,3,5762,1,
5849,0,5850,3460032,5858,87,5762,3,5858,1,
5949,0,5950,3458316,5956,32,5858,3,5956,1,
6049,0,6050,3458316,6055,16,5956,3,6056,1,
6151,0,6152,3458068,6162,11,6055,3,6163,1,
6253,0,6256,3458192,6281,6,6163,3,6282,1,
6352,0,6354,3460052,6369,25,6282,3,6369,1,
6455,0,6458,3457696,6477,5,6369,3,6478,1,
6556,0,6559,3457572,6578,5,6478,3,6579,1,
6657,0,6660,3457572,6689,3,6579,3,6690,1,
6758,0,6761,3457572,6781,3,6690,3,6782,1,
6860,0,6863,3457696,6891,2,6782,3,6893,1,
6960,0,6963,3457820,6984,16,6892,3,6985,1,
7062,0,7065,3458068,7083,15,6985,3,7084,1,
7163,0,7168,3458564,7188,14,7083,3,7189,1,
7264,0,7267,3458812,7274,13,7189,3,7274,1,
7365,0,7368,3458812,7387,3,7274,3,7387,1,
7467,0,7471,3458812,7496,3,7387,3,7497,1,
7567,0,7570,3458936,7587,4,7497,3,7588,1,
7668,0,7671,3458936,7688,2,7588,3,7689,1,
7769,0,7772,3458936,7791,1,7688,3,7792,1,
7872,0,7877,3459060,7905,1,7792,3,7906,1,
7972,0,7977,3459060,8007,4,7906,3,8008,1,
8073,0,8076,3459184,8095,10,8008,3,8096,1,
8177,0,8181,3459184,8201,4,8096,3,8201,1,
8276,0,8279,3459184,8299,5,8201,3,8300,1,
8376,0,8381,3459308,8413,1,8300,3,8414,1,
8476,0,8477,3456084,8485,22,8413,3,8486,1,
8579,0,8583,3456332,8598,12,8486,3,8598,1,
8679,0,8682,3456084,8711,11,8598,3,8711,1,
8780,0,8782,3456332,8802,6,8711,3,8803,1,
8881,0,8884,3456580,8907,2,8803,3,8907,1,
8986,0,8991,3456704,9008,4,8907,3,9009,1,
9087,0,9092,3456828,9110,2,9009,3,9110,1,
9187,0,9190,3456828,9208,5,9110,3,9209,1,
9288,0,9292,3457076,9319,4,9209,3,9319,1,
9388,0,9392,3457200,9409,5,9319,3,9409,1,
9488,0,9489,3457200,9496,9,9409,3,9497,1,
9588,0,9589,3457696,9594,33,9497,3,9594,1,
9689,0,9690,3458680,9696,60,9594,3,9696,1,
9789,0,9790,3454944,9796,71,9696,3,9796,1,
9889,0,9890,3459656,9899,72,9796,3,9900,1,
9989,0,9990,3455316,9996,36,9899,3,9996,1,
10090,3,10091,3454200,10098,10,9996,3,10099,1,
10190,3,10191,3454448,10196,13,10099,3,10197,1,
10290,3,10291,3455192,10296,18,10197,3,10297,1,
10391,3,10391,3456556,10396,9,10297,3,10396,1,
10491,3,10492,3452712,10497,5,10396,3,10497,1,
10591,3,10592,3452588,10597,8,10497,3,10597,1,
10692,3,10693,3455316,10701,23,10597,3,10702,1,
10792,3,10793,3446388,10800,36,10701,3,10800,1,
10892,3,10893,3446388,10898,18,10800,3,10899,1,
10993,3,10993,3446372,10999,9,10899,3,10999,1,
11093,3,11094,3446496,11099,10,10999,3,11100,1,
11193,3,11194,3446496,11200,9,11100,3,11200,1,
